販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒031:牛肉,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003101:すき焼,003101:すき焼,003101:すき焼,003102:しゃぶしゃぶ,003102:しゃぶしゃぶ,003102:しゃぶしゃぶ,003103:切り落し,003103:切り落し,003103:切り落し,003104:焼肉,003104:焼肉,003104:焼肉,003105:ｽﾃｰｷ,003105:ｽﾃｰｷ,003105:ｽﾃｰｷ,003106:煮込み,003106:煮込み,003106:煮込み,003107:ﾌﾞﾛｯｸ,003107:ﾌﾞﾛｯｸ,003107:ﾌﾞﾛｯｸ,003150:牛肉資材,003150:牛肉資材,003150:牛肉資材,003199:代表ｺｰﾄﾞ,003199:代表ｺｰﾄﾞ,003199:代表ｺｰﾄﾞ
2025年10週(2025/06/02~2025/06/08),38,"¥2,064,661",108.30%,14,"¥3,847,972",112.60%,19,"¥7,005,647",100.40%,23,"¥4,367,598",97.90%,33,"¥4,637,935",102.50%,26,"¥1,852,810",107.00%,19,"¥92,874",75.60%,37,"¥6,116",80.10%,7,"¥25,000",1002.00%
2025年11週(2025/06/09~2025/06/15),30,"¥2,276,159",85.00%,31,"¥3,498,270",84.80%,16,"¥7,085,227",97.80%,11,"¥4,860,683",84.10%,7,"¥6,176,327",96.70%,44,"¥1,461,362",87.50%,18,"¥97,750",82.50%,26,"¥7,365",56.60%,31,¥0,0.00%
2025年12週(2025/06/16~2025/06/22),35,"¥2,112,193",83.20%,21,"¥3,692,767",103.20%,22,"¥6,931,788",101.50%,15,"¥4,578,313",104.70%,38,"¥4,449,270",98.00%,48,"¥1,359,935",96.00%,27,"¥75,581",121.60%,19,"¥8,088",85.40%,32,¥0,0.00%
2025年13週(2025/06/23~2025/06/29),39,"¥2,048,489",104.40%,24,"¥3,640,266",93.20%,25,"¥6,911,764",91.80%,32,"¥4,158,967",94.90%,20,"¥4,966,781",93.30%,33,"¥1,685,442",94.50%,24,"¥79,194",93.30%,28,"¥7,201",66.40%,33,¥0,0.00%
2025年14週(2025/06/30~2025/07/06),43,"¥1,892,498",96.50%,26,"¥3,582,185",102.80%,44,"¥6,237,428",96.00%,21,"¥4,401,396",93.40%,27,"¥4,760,852",93.70%,41,"¥1,561,424",91.40%,37,"¥60,631",113.90%,5,"¥12,761",80.20%,34,¥0,0.00%
2025年15週(2025/07/07~2025/07/13),50,"¥1,630,987",84.50%,41,"¥3,306,171",90.60%,28,"¥6,814,796",102.10%,24,"¥4,366,778",93.10%,32,"¥4,640,195",94.50%,51,"¥1,327,608",106.50%,31,"¥69,656",137.20%,7,"¥11,084",94.30%,35,¥0,0.00%
2025年16週(2025/07/14~2025/07/20),52,"¥1,580,408",67.20%,43,"¥3,289,297",101.10%,6,"¥7,563,416",111.40%,22,"¥4,370,145",96.20%,11,"¥5,567,029",93.90%,50,"¥1,337,235",100.50%,21,"¥80,632",253.30%,6,"¥12,081",67.10%,15,"¥4,683",19.50%
2025年17週(2025/07/21~2025/07/27),37,"¥2,097,325",108.40%,35,"¥3,361,638",99.80%,17,"¥7,072,149",108.30%,17,"¥4,463,529",99.20%,24,"¥4,862,889",93.30%,30,"¥1,718,744",98.20%,10,"¥111,259",330.60%,23,"¥7,749",78.70%,48,"¥-1,207",-36.10%
2025年18週(2025/07/28~2025/08/03),31,"¥2,240,399",106.70%,37,"¥3,350,876",99.40%,12,"¥7,137,934",107.50%,14,"¥4,668,046",92.20%,34,"¥4,609,169",90.10%,52,"¥1,224,866",71.20%,22,"¥80,092",260.40%,11,"¥9,031",87.60%,25,¥533,42.70%
2025年19週(2025/08/04~2025/08/10),29,"¥2,288,513",84.00%,20,"¥3,717,501",87.70%,36,"¥6,565,194",99.80%,4,"¥6,156,793",104.00%,8,"¥6,004,515",96.60%,31,"¥1,700,046",101.60%,8,"¥127,668",112.00%,8,"¥10,519",73.60%,21,"¥1,225",81.00%
2025年20週(2025/08/11~2025/08/17),8,"¥3,055,201",100.30%,6,"¥4,570,566",94.00%,38,"¥6,495,486",93.40%,2,"¥7,945,640",104.10%,3,"¥7,645,776",101.30%,42,"¥1,531,351",102.70%,6,"¥145,518",70.30%,18,"¥8,128",77.80%,9,"¥19,295",922.80%
2025年21週(2025/08/18~2025/08/24),51,"¥1,599,323",62.30%,25,"¥3,625,618",108.20%,5,"¥7,813,686",99.00%,18,"¥4,456,824",91.70%,37,"¥4,536,899",87.60%,37,"¥1,633,942",82.40%,16,"¥99,172",382.00%,13,"¥8,380",90.30%,52,"¥-10,146",-38.30%
2025年22週(2025/08/25~2025/08/31),44,"¥1,890,939",85.70%,51,"¥3,130,826",88.30%,2,"¥8,814,022",111.10%,19,"¥4,431,925",91.80%,35,"¥4,566,481",94.50%,49,"¥1,341,157",73.80%,47,"¥45,447",59.50%,12,"¥8,716",389.30%,36,¥0,0.00%
2025年23週(2025/09/01~2025/09/07),48,"¥1,789,781",82.10%,27,"¥3,576,961",100.80%,30,"¥6,708,703",98.40%,26,"¥4,243,436",100.80%,30,"¥4,686,249",96.00%,36,"¥1,647,216",93.30%,34,"¥66,819",66.90%,47,"¥5,166",60.50%,26,¥500,1428.60%
2025年24週(2025/09/08~2025/09/14),34,"¥2,148,740",86.70%,38,"¥3,330,528",97.30%,34,"¥6,580,900",101.30%,34,"¥4,112,880",91.40%,5,"¥6,279,758",116.10%,46,"¥1,439,886",102.40%,29,"¥74,578",69.70%,15,"¥8,290",77.50%,6,"¥31,625",0.00%
2025年25週(2025/09/15~2025/09/21),47,"¥1,811,856",61.40%,49,"¥3,200,937",93.50%,1,"¥8,880,145",131.20%,48,"¥3,622,090",87.60%,18,"¥5,108,142",96.80%,35,"¥1,666,597",85.90%,50,"¥34,201",53.00%,31,"¥6,590",68.50%,51,"¥-2,968",0.00%
2025年26週(2025/09/22~2025/09/28),15,"¥2,630,515",96.10%,39,"¥3,313,733",86.20%,13,"¥7,135,255",104.10%,36,"¥3,808,480",88.90%,22,"¥4,901,109",96.30%,25,"¥1,927,705",118.20%,7,"¥139,644",550.10%,48,"¥4,907",55.50%,37,¥0,0.00%
2025年27週(2025/09/29~2025/10/05),19,"¥2,536,318",90.60%,46,"¥3,269,142",91.40%,48,"¥6,124,452",91.10%,45,"¥3,666,811",93.30%,36,"¥4,563,401",98.10%,24,"¥1,942,368",95.20%,33,"¥67,777",101.30%,39,"¥5,998",74.10%,18,"¥2,878",32.50%
2025年28週(2025/10/06~2025/10/12),9,"¥3,024,387",85.60%,44,"¥3,287,967",85.30%,20,"¥6,987,152",105.70%,47,"¥3,642,444",96.70%,31,"¥4,679,409",100.20%,27,"¥1,816,604",92.90%,42,"¥51,423",33.20%,41,"¥5,923",57.50%,38,¥0,0.00%
2025年29週(2025/10/13~2025/10/19),12,"¥2,751,712",83.90%,52,"¥3,111,728",80.70%,37,"¥6,508,392",100.30%,8,"¥4,905,109",115.70%,40,"¥4,255,547",98.20%,43,"¥1,519,541",66.70%,11,"¥109,997",149.20%,14,"¥8,372",138.40%,17,"¥3,854",0.00%
2025年30週(2025/10/20~2025/10/26),20,"¥2,531,754",75.50%,10,"¥4,071,445",97.30%,7,"¥7,438,496",107.10%,27,"¥4,241,344",106.30%,15,"¥5,235,674",125.70%,12,"¥2,213,609",120.60%,46,"¥45,957",69.50%,29,"¥7,193",90.80%,39,¥0,0.00%
2025年31週(2025/10/27~2025/11/02),18,"¥2,569,208",79.20%,5,"¥5,015,480",133.10%,47,"¥6,142,773",95.50%,44,"¥3,670,991",99.10%,41,"¥4,232,108",97.30%,10,"¥2,312,144",95.20%,40,"¥57,348",85.40%,49,"¥4,832",58.70%,50,"¥-1,388",0.00%
2025年32週(2025/11/03~2025/11/09),32,"¥2,168,239",69.60%,9,"¥4,088,016",98.50%,35,"¥6,569,002",108.00%,43,"¥3,687,433",103.70%,47,"¥3,715,110",84.60%,2,"¥2,951,164",147.10%,38,"¥59,034",255.90%,50,"¥4,804",61.60%,1,"¥119,157",1872.10%
2025年33週(2025/11/10~2025/11/16),13,"¥2,685,286",85.00%,28,"¥3,554,868",100.20%,26,"¥6,909,149",120.00%,20,"¥4,420,928",114.90%,48,"¥3,674,741",92.50%,15,"¥2,074,601",96.90%,44,"¥49,181",52.50%,30,"¥7,108",117.60%,23,¥839,-129.30%
2025年34週(2025/11/17~2025/11/23),22,"¥2,472,516",72.80%,4,"¥5,039,917",124.60%,52,"¥5,452,058",83.10%,38,"¥3,766,644",101.70%,39,"¥4,285,407",113.20%,23,"¥1,967,519",81.40%,5,"¥160,974",169.10%,9,"¥10,400",135.30%,27,¥364,0.00%
2025年35週(2025/11/24~2025/11/30),23,"¥2,466,405",82.10%,3,"¥5,151,809",125.10%,43,"¥6,257,505",100.20%,46,"¥3,657,265",107.90%,50,"¥3,459,684",86.10%,13,"¥2,209,996",85.10%,45,"¥46,898",65.70%,16,"¥8,174",77.80%,20,"¥1,549",4.20%
2025年36週(2025/12/01~2025/12/07),3,"¥4,107,410",87.70%,8,"¥4,122,547",93.40%,3,"¥8,181,268",114.80%,28,"¥4,226,177",99.20%,6,"¥6,184,667",115.30%,5,"¥2,602,212",98.10%,35,"¥64,020",79.50%,4,"¥13,811",63.60%,19,"¥2,288",12.80%
2025年37週(2025/12/08~2025/12/14),6,"¥3,216,250",95.40%,17,"¥3,766,534",94.60%,42,"¥6,312,218",94.80%,51,"¥3,456,480",100.30%,43,"¥4,102,312",103.00%,8,"¥2,332,873",106.40%,9,"¥127,481",65.90%,3,"¥17,643",103.10%,40,¥0,0.00%
2025年38週(2025/12/15~2025/12/21),4,"¥3,888,171",85.50%,36,"¥3,351,473",89.40%,31,"¥6,708,450",116.70%,50,"¥3,525,583",100.40%,16,"¥5,141,043",105.10%,7,"¥2,518,015",83.90%,3,"¥544,373",73.90%,2,"¥17,974",86.10%,8,"¥25,000",3472.20%
2025年39週(2025/12/22~2025/12/28),2,"¥7,133,130",61.10%,2,"¥5,415,001",75.30%,21,"¥6,978,785",100.20%,10,"¥4,866,052",83.80%,2,"¥8,609,544",97.40%,1,"¥3,206,940",93.90%,2,"¥2,900,048",63.40%,1,"¥29,607",97.60%,5,"¥34,198",354.00%
2025年40週(2025/12/29~2026/01/04),1,"¥22,468,760",108.70%,1,"¥13,785,638",112.20%,46,"¥6,153,882",129.20%,1,"¥8,436,200",103.50%,1,"¥11,086,508",104.10%,3,"¥2,634,849",122.80%,1,"¥6,572,401",142.40%,52,"¥2,843",61.80%,12,"¥10,666",-16665.60%
2025年41週(2026/01/05~2026/01/11),14,"¥2,650,483",74.90%,48,"¥3,209,968",83.60%,11,"¥7,160,578",141.00%,52,"¥3,370,877",103.50%,45,"¥3,939,765",107.70%,14,"¥2,185,654",85.50%,49,"¥35,270",43.30%,24,"¥7,576",99.00%,10,"¥18,015",2001.70%
2025年42週(2026/01/12~2026/01/18),27,"¥2,344,015",70.20%,32,"¥3,455,503",92.10%,29,"¥6,762,580",118.30%,49,"¥3,575,469",101.30%,42,"¥4,157,232",116.70%,6,"¥2,554,819",121.70%,14,"¥100,745",608.20%,46,"¥5,195",89.40%,28,¥115,-1916.70%
2025年43週(2026/01/19~2026/01/25),25,"¥2,403,963",74.00%,11,"¥3,965,960",119.40%,45,"¥6,225,423",109.00%,16,"¥4,541,287",131.00%,52,"¥3,209,660",87.90%,17,"¥2,041,635",90.80%,26,"¥75,628",227.60%,44,"¥5,435",80.90%,16,"¥4,164",78.20%
2025年44週(2026/01/26~2026/02/01),11,"¥2,844,223",96.80%,12,"¥3,951,392",98.00%,50,"¥6,066,760",100.40%,40,"¥3,716,678",103.20%,51,"¥3,456,361",92.20%,4,"¥2,609,375",122.80%,51,"¥32,573",111.80%,51,"¥4,305",64.20%,3,"¥46,297",0.00%
2025年45週(2026/02/02~2026/02/08),45,"¥1,851,949",73.80%,18,"¥3,758,867",91.50%,24,"¥6,920,261",131.10%,39,"¥3,754,194",117.10%,17,"¥5,125,668",99.00%,11,"¥2,304,547",85.90%,36,"¥62,822",387.70%,40,"¥5,980",98.50%,41,¥0,0.00%
2025年46週(2026/02/09~2026/02/15),36,"¥2,111,290",80.70%,7,"¥4,301,932",113.10%,14,"¥7,125,456",111.50%,37,"¥3,806,728",110.90%,26,"¥4,797,349",91.00%,18,"¥2,025,202",87.40%,13,"¥103,391",163.90%,17,"¥8,140",113.70%,42,¥0,0.00%
2025年47週(2026/02/16~2026/02/22),7,"¥3,069,295",97.80%,13,"¥3,871,147",97.80%,27,"¥6,857,894",103.40%,41,"¥3,706,654",101.90%,46,"¥3,795,535",81.80%,28,"¥1,777,002",67.30%,52,"¥27,056",32.90%,45,"¥5,243",199.30%,43,¥0,0.00%
2025年48週(2026/02/23~2026/03/01),16,"¥2,627,322",91.00%,23,"¥3,657,609",91.60%,33,"¥6,642,414",110.70%,13,"¥4,678,485",127.20%,49,"¥3,587,208",80.80%,9,"¥2,322,571",123.10%,25,"¥79,190",349.50%,36,"¥6,122",81.10%,2,"¥52,940",131.30%
2025年49週(2026/03/02~2026/03/08),49,"¥1,776,887",71.00%,30,"¥3,514,600",97.90%,15,"¥7,113,390",112.50%,42,"¥3,691,977",115.30%,10,"¥5,683,003",114.60%,21,"¥1,992,713",111.60%,43,"¥51,020",64.50%,35,"¥6,126",85.50%,44,¥0,0.00%
2025年50週(2026/03/09~2026/03/15),40,"¥2,019,737",70.70%,40,"¥3,306,680",100.30%,9,"¥7,260,713",120.30%,35,"¥3,955,577",113.00%,14,"¥5,307,938",105.00%,16,"¥2,062,313",100.30%,32,"¥68,938",77.10%,32,"¥6,533",104.70%,4,"¥45,667",0.00%
2025年51週(2026/03/16~2026/03/22),46,"¥1,818,562",71.60%,42,"¥3,293,070",84.50%,4,"¥8,135,078",127.90%,31,"¥4,173,423",105.50%,25,"¥4,847,780",103.60%,34,"¥1,680,762",78.50%,23,"¥79,581",50.40%,33,"¥6,448",86.70%,46,¥-471,42.60%
2025年52週(2026/03/23~2026/03/29),41,"¥1,992,342",74.30%,34,"¥3,371,588",97.00%,10,"¥7,204,103",120.90%,6,"¥5,080,368",117.60%,23,"¥4,881,953",104.20%,22,"¥1,987,106",101.00%,28,"¥75,422",70.40%,38,"¥6,003",98.90%,45,¥0,0.00%
