販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒034:畜産加工品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003401:ﾊﾑ,003401:ﾊﾑ,003401:ﾊﾑ,003402:ｿｰｾｰｼﾞ,003402:ｿｰｾｰｼﾞ,003402:ｿｰｾｰｼﾞ,003403:ﾍﾞｰｺﾝ,003403:ﾍﾞｰｺﾝ,003403:ﾍﾞｰｺﾝ,003404:生ﾊﾑ,003404:生ﾊﾑ,003404:生ﾊﾑ,003405:ｻﾗﾐ,003405:ｻﾗﾐ,003405:ｻﾗﾐ,003406:惣菜,003406:惣菜,003406:惣菜,003407:ｻﾗﾀﾞ,003407:ｻﾗﾀﾞ,003407:ｻﾗﾀﾞ,003408:調味料,003408:調味料,003408:調味料,003409:餃子皮,003409:餃子皮,003409:餃子皮,003410:ﾜﾝﾀﾝ,003410:ﾜﾝﾀﾝ,003410:ﾜﾝﾀﾝ,003411:春巻き皮,003411:春巻き皮,003411:春巻き皮,003412:ﾊﾟﾝ粉,003412:ﾊﾟﾝ粉,003412:ﾊﾟﾝ粉,003499:代表ｺｰﾄﾞ,003499:代表ｺｰﾄﾞ,003499:代表ｺｰﾄﾞ
2025年10週(2025/06/02~2025/06/08),20,"¥2,237,636",101.70%,43,"¥2,352,535",92.40%,16,"¥1,271,900",110.00%,27,"¥712,308",108.40%,24,"¥147,763",138.90%,43,"¥524,330",90.20%,19,"¥287,030",95.60%,36,"¥294,018",103.70%,27,"¥112,919",90.60%,13,"¥23,664",98.00%,26,"¥90,287",102.90%,10,"¥18,176",92.40%,35,¥-129,-20.70%
2025年11週(2025/06/09~2025/06/15),17,"¥2,252,614",98.10%,20,"¥2,619,454",93.70%,7,"¥1,332,619",98.30%,24,"¥749,218",95.20%,16,"¥158,696",112.00%,29,"¥611,533",97.00%,8,"¥311,417",80.20%,37,"¥293,143",97.50%,29,"¥112,313",96.60%,6,"¥25,847",118.20%,19,"¥93,073",119.20%,9,"¥18,360",90.90%,23,¥0,0.00%
2025年12週(2025/06/16~2025/06/22),15,"¥2,278,479",108.00%,47,"¥2,312,551",95.10%,18,"¥1,265,291",104.80%,29,"¥708,029",94.40%,47,"¥112,699",92.50%,34,"¥571,548",72.40%,4,"¥340,107",90.80%,33,"¥294,909",104.90%,26,"¥113,324",111.70%,52,"¥14,509",77.00%,17,"¥93,818",114.00%,22,"¥17,208",94.30%,4,"¥1,401",118.10%
2025年13週(2025/06/23~2025/06/29),7,"¥2,372,925",116.90%,33,"¥2,463,494",101.70%,19,"¥1,264,127",115.30%,25,"¥746,243",104.10%,36,"¥132,671",134.90%,49,"¥452,644",60.60%,28,"¥260,591",80.40%,35,"¥294,103",97.50%,45,"¥102,839",90.40%,23,"¥22,258",92.40%,32,"¥89,348",109.60%,11,"¥18,040",92.50%,12,¥650,-272.00%
2025年14週(2025/06/30~2025/07/06),13,"¥2,288,612",104.70%,30,"¥2,522,543",107.70%,46,"¥1,140,145",94.50%,17,"¥779,806",107.00%,39,"¥131,668",147.20%,48,"¥462,757",82.20%,7,"¥317,161",97.20%,40,"¥292,032",100.80%,33,"¥109,030",103.10%,45,"¥18,728",104.40%,36,"¥85,883",100.20%,43,"¥15,784",91.00%,24,¥0,0.00%
2025年15週(2025/07/07~2025/07/13),14,"¥2,279,268",108.80%,35,"¥2,439,799",90.30%,27,"¥1,226,176",101.00%,30,"¥706,397",89.80%,9,"¥173,843",152.90%,47,"¥499,503",59.70%,6,"¥321,420",89.40%,50,"¥273,406",89.60%,21,"¥114,849",100.10%,37,"¥19,882",94.80%,33,"¥88,641",113.70%,36,"¥16,192",80.50%,20,¥166,6.90%
2025年16週(2025/07/14~2025/07/20),10,"¥2,333,635",109.70%,44,"¥2,351,150",93.90%,41,"¥1,169,669",104.10%,23,"¥750,575",98.70%,12,"¥162,181",172.60%,46,"¥500,278",64.40%,12,"¥299,693",78.50%,52,"¥259,844",89.70%,44,"¥103,575",91.60%,35,"¥20,232",110.70%,34,"¥88,151",129.20%,24,"¥16,960",92.80%,18,¥289,28.40%
2025年17週(2025/07/21~2025/07/27),6,"¥2,400,211",109.50%,23,"¥2,589,644",107.00%,5,"¥1,341,680",118.60%,8,"¥929,411",116.80%,43,"¥121,212",136.60%,41,"¥542,194",70.40%,24,"¥276,266",69.50%,39,"¥292,485",100.50%,38,"¥106,987",98.80%,51,"¥15,192",72.40%,30,"¥89,817",102.50%,15,"¥17,552",97.20%,47,¥-896,367.20%
2025年18週(2025/07/28~2025/08/03),32,"¥2,083,418",105.70%,45,"¥2,337,986",97.70%,45,"¥1,143,710",100.50%,22,"¥755,814",99.50%,42,"¥121,574",114.80%,38,"¥551,924",94.50%,9,"¥303,295",87.40%,44,"¥286,906",99.80%,36,"¥107,920",90.80%,49,"¥17,626",126.10%,42,"¥82,389",105.40%,51,"¥12,960",72.20%,38,¥-179,86.50%
2025年19週(2025/08/04~2025/08/10),4,"¥2,414,857",108.00%,8,"¥2,757,050",94.70%,33,"¥1,204,584",103.30%,7,"¥1,015,463",102.90%,48,"¥106,250",101.20%,50,"¥437,117",60.80%,15,"¥292,707",79.40%,38,"¥292,778",99.80%,5,"¥137,480",106.70%,46,"¥18,426",94.00%,22,"¥91,023",92.50%,33,"¥16,444",89.20%,2,"¥2,184",120.90%
2025年20週(2025/08/11~2025/08/17),3,"¥2,508,137",111.30%,6,"¥2,801,394",104.50%,37,"¥1,198,270",89.00%,5,"¥1,056,881",103.50%,51,"¥94,335",105.30%,51,"¥435,436",66.80%,14,"¥293,393",85.40%,26,"¥313,891",101.70%,2,"¥145,782",97.30%,28,"¥21,384",101.90%,27,"¥90,273",96.40%,37,"¥16,160",84.00%,9,¥900,-87.00%
2025年21週(2025/08/18~2025/08/24),27,"¥2,154,944",91.20%,16,"¥2,643,083",91.60%,9,"¥1,292,616",97.00%,9,"¥921,480",109.10%,45,"¥118,872",126.90%,39,"¥548,331",62.40%,13,"¥294,432",71.60%,34,"¥294,454",98.90%,34,"¥108,587",97.50%,21,"¥22,761",118.80%,28,"¥90,129",88.00%,42,"¥15,840",78.50%,46,¥-768,-85.30%
2025年22週(2025/08/25~2025/08/31),25,"¥2,169,654",113.40%,42,"¥2,353,539",95.20%,38,"¥1,189,792",102.20%,10,"¥910,267",99.80%,33,"¥135,254",101.10%,42,"¥536,747",55.00%,5,"¥324,848",81.50%,43,"¥287,999",92.60%,30,"¥110,618",80.30%,1,"¥28,577",155.00%,37,"¥83,751",86.40%,49,"¥15,248",79.00%,15,¥362,-25.60%
2025年23週(2025/09/01~2025/09/07),39,"¥1,937,708",95.40%,28,"¥2,544,053",99.30%,34,"¥1,203,461",99.90%,12,"¥857,869",121.90%,34,"¥134,688",124.40%,52,"¥414,404",75.30%,10,"¥300,970",96.10%,49,"¥277,864",102.30%,47,"¥101,854",98.50%,19,"¥22,960",115.10%,40,"¥82,839",98.60%,32,"¥16,472",91.70%,6,"¥1,210",86.50%
2025年24週(2025/09/08~2025/09/14),5,"¥2,414,689",123.70%,9,"¥2,705,665",105.70%,26,"¥1,226,396",112.60%,16,"¥784,080",101.30%,18,"¥157,542",127.60%,45,"¥501,768",63.50%,20,"¥286,603",76.30%,31,"¥296,504",111.00%,19,"¥116,039",109.00%,42,"¥19,334",109.80%,6,"¥104,888",120.70%,48,"¥15,480",88.90%,25,¥0,0.00%
2025年25週(2025/09/15~2025/09/21),30,"¥2,118,271",111.00%,48,"¥2,288,206",86.60%,50,"¥1,085,529",104.30%,14,"¥786,114",113.90%,30,"¥140,831",108.90%,22,"¥640,017",94.70%,32,"¥256,020",75.10%,51,"¥269,202",93.00%,32,"¥109,597",104.70%,30,"¥21,283",95.90%,29,"¥90,040",99.00%,34,"¥16,256",90.50%,33,¥-58,-8.70%
2025年26週(2025/09/22~2025/09/28),19,"¥2,239,914",117.60%,1,"¥2,936,009",107.40%,13,"¥1,287,425",97.20%,11,"¥871,824",141.90%,27,"¥144,641",121.20%,37,"¥553,355",68.80%,29,"¥259,951",74.30%,47,"¥282,213",96.60%,31,"¥110,602",98.20%,48,"¥17,689",87.40%,31,"¥89,715",113.00%,25,"¥16,960",87.90%,26,¥0,0.00%
2025年27週(2025/09/29~2025/10/05),43,"¥1,898,214",99.40%,22,"¥2,597,486",96.40%,35,"¥1,199,356",105.40%,32,"¥683,351",99.70%,37,"¥132,412",137.60%,33,"¥572,816",82.50%,49,"¥217,843",69.50%,48,"¥277,889",97.70%,50,"¥98,490",101.30%,24,"¥22,165",125.20%,51,"¥71,304",85.90%,47,"¥15,496",86.30%,52,"¥-1,834",309.80%
2025年28週(2025/10/06~2025/10/12),26,"¥2,158,351",110.40%,18,"¥2,639,637",96.60%,40,"¥1,179,327",106.40%,18,"¥779,368",98.80%,13,"¥161,055",185.30%,9,"¥733,300",82.60%,39,"¥236,996",78.50%,42,"¥288,645",102.80%,35,"¥108,018",99.10%,50,"¥17,153",98.90%,49,"¥74,597",81.80%,41,"¥15,896",84.30%,48,¥-942,191.50%
2025年29週(2025/10/13~2025/10/19),42,"¥1,912,907",100.20%,7,"¥2,783,064",102.10%,39,"¥1,179,503",97.40%,41,"¥607,431",80.50%,22,"¥152,292",124.10%,17,"¥694,719",90.20%,35,"¥243,452",71.70%,11,"¥394,154",139.10%,52,"¥89,950",92.20%,43,"¥19,279",94.10%,45,"¥80,135",93.20%,45,"¥15,568",88.10%,27,¥0,0.00%
2025年30週(2025/10/20~2025/10/26),28,"¥2,136,579",107.40%,2,"¥2,902,202",111.80%,10,"¥1,291,398",107.20%,39,"¥621,214",85.20%,19,"¥157,338",190.60%,15,"¥699,366",79.90%,31,"¥256,902",84.50%,16,"¥361,969",130.10%,41,"¥105,778",112.30%,34,"¥20,458",106.80%,50,"¥73,590",90.10%,50,"¥14,984",70.60%,37,¥-150,88.20%
2025年31週(2025/10/27~2025/11/02),51,"¥1,779,704",96.60%,27,"¥2,545,276",97.40%,51,"¥1,076,281",97.70%,45,"¥582,843",79.30%,31,"¥138,435",151.80%,18,"¥684,099",109.70%,51,"¥206,191",69.00%,7,"¥415,996",148.80%,51,"¥95,012",88.00%,41,"¥19,602",98.70%,41,"¥82,500",97.90%,23,"¥17,008",92.20%,28,¥0,0.00%
2025年32週(2025/11/03~2025/11/09),29,"¥2,122,387",105.00%,4,"¥2,824,517",100.90%,15,"¥1,272,152",98.00%,44,"¥588,257",83.80%,38,"¥132,008",134.30%,30,"¥601,919",66.80%,40,"¥235,989",76.80%,8,"¥412,565",135.60%,40,"¥106,011",99.10%,4,"¥26,880",113.00%,48,"¥76,000",91.20%,44,"¥15,712",82.70%,8,"¥1,000",641.00%
2025年33週(2025/11/10~2025/11/16),36,"¥1,980,747",93.10%,15,"¥2,644,762",103.20%,36,"¥1,199,222",109.00%,28,"¥709,922",94.50%,8,"¥178,069",212.50%,1,"¥966,608",110.40%,45,"¥225,792",85.10%,4,"¥443,161",148.70%,22,"¥114,603",107.70%,27,"¥21,433",113.20%,47,"¥76,594",98.80%,31,"¥16,576",91.10%,42,¥-304,190.00%
2025年34週(2025/11/17~2025/11/23),46,"¥1,869,090",101.40%,24,"¥2,570,832",100.20%,49,"¥1,091,740",99.80%,13,"¥848,661",108.60%,17,"¥158,447",159.50%,7,"¥750,746",95.40%,38,"¥238,664",84.70%,9,"¥410,557",145.30%,43,"¥104,502",109.40%,10,"¥23,937",126.60%,52,"¥70,454",91.80%,38,"¥16,136",76.20%,11,¥708,78.70%
2025年35週(2025/11/24~2025/11/30),50,"¥1,824,239",84.30%,14,"¥2,645,800",102.70%,22,"¥1,245,900",101.30%,19,"¥778,350",111.50%,23,"¥149,363",123.40%,13,"¥712,354",95.60%,43,"¥231,956",78.60%,3,"¥453,762",164.80%,42,"¥104,529",96.40%,44,"¥19,064",83.70%,39,"¥82,923",108.20%,20,"¥17,240",81.60%,29,¥0,0.00%
2025年36週(2025/12/01~2025/12/07),23,"¥2,183,713",103.50%,13,"¥2,665,563",95.50%,11,"¥1,290,381",102.10%,4,"¥1,065,762",132.90%,10,"¥164,967",124.90%,2,"¥857,944",96.50%,30,"¥258,509",89.00%,6,"¥432,088",126.80%,12,"¥121,847",115.70%,11,"¥23,849",134.60%,21,"¥91,848",116.30%,16,"¥17,512",77.50%,31,¥-35,35.40%
2025年37週(2025/12/08~2025/12/14),31,"¥2,096,534",112.10%,40,"¥2,384,015",101.20%,48,"¥1,101,028",100.30%,6,"¥1,028,142",130.50%,3,"¥240,605",188.00%,12,"¥715,220",91.40%,23,"¥279,568",103.20%,10,"¥406,119",134.40%,48,"¥100,523",122.10%,26,"¥21,718",110.50%,35,"¥86,512",118.50%,21,"¥17,240",82.20%,13,¥501,0.00%
2025年38週(2025/12/15~2025/12/21),11,"¥2,303,462",97.40%,49,"¥2,279,047",94.70%,20,"¥1,257,329",107.00%,3,"¥1,255,396",93.90%,4,"¥230,732",135.90%,19,"¥667,365",81.10%,3,"¥343,242",85.30%,13,"¥387,294",122.10%,46,"¥102,640",112.20%,47,"¥18,277",84.00%,24,"¥90,909",104.80%,27,"¥16,888",77.90%,40,¥-200,-50.00%
2025年39週(2025/12/22~2025/12/28),1,"¥4,108,057",95.20%,5,"¥2,811,695",97.50%,2,"¥1,417,849",105.60%,1,"¥2,681,805",108.50%,1,"¥305,816",103.90%,5,"¥793,633",88.40%,1,"¥674,794",116.90%,1,"¥526,357",119.10%,1,"¥150,148",99.70%,32,"¥21,129",89.80%,2,"¥132,829",93.00%,5,"¥19,336",79.50%,3,"¥1,989",75.20%
2025年40週(2025/12/29~2026/01/04),2,"¥2,941,351",117.00%,52,"¥2,009,592",111.00%,52,"¥1,018,154",117.70%,2,"¥2,144,758",130.40%,2,"¥294,430",180.70%,10,"¥732,888",114.20%,2,"¥585,899",193.70%,2,"¥468,100",145.00%,17,"¥118,095",121.80%,40,"¥19,678",139.70%,18,"¥93,707",123.00%,52,"¥12,216",110.30%,44,¥-495,0.00%
2025年41週(2026/01/05~2026/01/11),52,"¥1,675,231",90.20%,51,"¥2,023,791",96.90%,44,"¥1,144,674",108.30%,46,"¥580,271",110.00%,41,"¥122,532",236.00%,20,"¥651,939",94.60%,37,"¥239,341",156.50%,23,"¥341,293",133.80%,24,"¥113,968",103.70%,9,"¥24,244",97.10%,46,"¥78,276",96.00%,46,"¥15,512",81.60%,45,¥-568,0.00%
2025年42週(2026/01/12~2026/01/18),45,"¥1,882,391",102.60%,50,"¥2,259,785",95.30%,43,"¥1,159,632",110.20%,48,"¥566,594",110.20%,11,"¥162,934",148.60%,8,"¥738,823",74.40%,33,"¥247,213",110.60%,14,"¥382,709",136.60%,37,"¥107,203",99.80%,2,"¥28,246",124.90%,38,"¥83,578",99.20%,40,"¥15,952",79.20%,14,¥454,-2670.60%
2025年43週(2026/01/19~2026/01/25),49,"¥1,852,429",93.60%,36,"¥2,410,920",102.60%,32,"¥1,208,092",96.30%,50,"¥560,580",96.00%,20,"¥156,829",162.80%,3,"¥848,823",112.30%,48,"¥224,298",106.70%,5,"¥443,015",149.10%,11,"¥122,307",114.20%,25,"¥21,818",98.30%,43,"¥82,091",80.10%,28,"¥16,880",90.70%,36,¥-129,258.00%
2025年44週(2026/01/26~2026/02/01),38,"¥1,952,864",117.90%,31,"¥2,501,757",104.80%,14,"¥1,282,859",111.30%,49,"¥564,664",92.00%,35,"¥132,753",137.00%,11,"¥719,128",86.10%,44,"¥226,231",71.00%,18,"¥352,967",124.20%,20,"¥115,715",101.80%,18,"¥23,103",115.90%,14,"¥95,869",99.00%,29,"¥16,832",88.70%,43,¥-453,46.70%
2025年45週(2026/02/02~2026/02/08),41,"¥1,915,604",105.50%,46,"¥2,317,481",91.80%,31,"¥1,215,870",108.50%,52,"¥514,102",88.40%,44,"¥121,062",129.80%,26,"¥618,073",86.40%,18,"¥287,549",123.20%,21,"¥346,248",115.20%,49,"¥100,046",96.70%,33,"¥20,484",80.70%,44,"¥81,227",97.10%,26,"¥16,904",85.70%,32,¥-36,31.30%
2025年46週(2026/02/09~2026/02/15),34,"¥2,071,851",111.10%,37,"¥2,404,445",97.20%,25,"¥1,232,410",95.50%,38,"¥621,301",118.10%,14,"¥160,711",114.50%,4,"¥795,345",82.10%,46,"¥225,486",76.00%,17,"¥357,083",115.70%,8,"¥128,628",99.90%,3,"¥27,472",98.90%,25,"¥90,716",117.80%,18,"¥17,352",84.50%,5,"¥1,290",182.70%
2025年47週(2026/02/16~2026/02/22),37,"¥1,962,712",100.40%,25,"¥2,569,223",94.70%,3,"¥1,381,035",114.40%,34,"¥676,165",118.00%,5,"¥200,649",133.40%,6,"¥773,350",98.80%,52,"¥198,364",83.60%,15,"¥363,598",135.80%,18,"¥116,621",92.20%,16,"¥23,345",95.30%,12,"¥97,073",129.80%,8,"¥18,544",88.20%,41,¥-235,0.00%
2025年48週(2026/02/23~2026/03/01),22,"¥2,198,050",121.70%,34,"¥2,456,273",99.70%,47,"¥1,121,178",106.70%,37,"¥631,030",111.60%,15,"¥160,062",155.80%,14,"¥705,882",85.30%,41,"¥234,933",90.10%,12,"¥387,976",140.00%,6,"¥136,332",119.10%,36,"¥20,149",86.10%,9,"¥100,050",115.40%,17,"¥17,432",85.80%,39,¥-198,-65.80%
2025年49週(2026/03/02~2026/03/08),47,"¥1,853,672",92.70%,38,"¥2,396,244",97.60%,28,"¥1,226,129",92.00%,43,"¥600,303",101.20%,32,"¥136,517",130.40%,31,"¥576,974",79.80%,50,"¥213,010",100.10%,25,"¥330,570",118.90%,25,"¥113,349",102.70%,12,"¥23,719",99.00%,23,"¥90,991",108.20%,30,"¥16,712",86.10%,34,¥-99,11.00%
2025年50週(2026/03/09~2026/03/15),44,"¥1,883,623",95.10%,32,"¥2,484,987",108.20%,6,"¥1,333,394",120.00%,40,"¥609,772",91.10%,21,"¥156,702",147.40%,16,"¥696,613",100.80%,47,"¥224,411",100.50%,20,"¥349,968",139.40%,9,"¥125,965",111.10%,17,"¥23,307",106.10%,7,"¥103,978",130.70%,39,"¥16,024",75.50%,30,¥0,0.00%
2025年51週(2026/03/16~2026/03/22),48,"¥1,853,287",85.70%,19,"¥2,638,101",101.10%,42,"¥1,167,329",100.20%,35,"¥664,798",100.20%,6,"¥186,388",118.80%,27,"¥617,778",87.90%,36,"¥242,982",104.70%,24,"¥331,000",108.60%,13,"¥121,541",107.00%,14,"¥23,411",98.30%,10,"¥97,257",111.20%,13,"¥17,968",91.70%,16,¥350,0.00%
2025年52週(2026/03/23~2026/03/29),18,"¥2,251,471",105.20%,11,"¥2,687,557",108.20%,17,"¥1,265,593",95.50%,47,"¥577,748",107.00%,7,"¥178,922",150.30%,32,"¥573,405",80.90%,42,"¥232,087",87.90%,22,"¥341,649",114.10%,7,"¥131,209",119.70%,39,"¥19,772",95.00%,13,"¥96,946",108.00%,35,"¥16,208",82.50%,17,¥303,325.80%
