販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：05:惣菜⇒052:麺・つゆ⇒005202:麺ｾｯﾄ類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00520201:温うどん定番,00520201:温うどん定番,00520201:温うどん定番,00520202:温うどんｽﾎﾟ,00520202:温うどんｽﾎﾟ,00520202:温うどんｽﾎﾟ,00520203:冷うどん定番,00520203:冷うどん定番,00520203:冷うどん定番,00520204:冷うどんｽﾎﾟ,00520204:冷うどんｽﾎﾟ,00520204:冷うどんｽﾎﾟ,00520205:温そば定番,00520205:温そば定番,00520205:温そば定番,00520206:温そばｽﾎﾟ,00520206:温そばｽﾎﾟ,00520206:温そばｽﾎﾟ,00520207:冷そば定番,00520207:冷そば定番,00520207:冷そば定番,00520209:温そうめん定,00520209:温そうめん定,00520209:温そうめん定,00520211:冷そうめん定,00520211:冷そうめん定,00520211:冷そうめん定,00520213:中華麺ｾｯﾄ,00520213:中華麺ｾｯﾄ,00520213:中華麺ｾｯﾄ,00520214:冷中華麺定番,00520214:冷中華麺定番,00520214:冷中華麺定番,00520215:冷中華麺ｽﾎﾟ,00520215:冷中華麺ｽﾎﾟ,00520215:冷中華麺ｽﾎﾟ,00520216:温中華麺定番,00520216:温中華麺定番,00520216:温中華麺定番,00520218:鍋ｾｯﾄ定番,00520218:鍋ｾｯﾄ定番,00520218:鍋ｾｯﾄ定番
2025年38週(2025/12/15~2025/12/21),13,"¥943,197",97.00%,40,¥0,0.00%,38,¥0,0.00%,38,¥0,0.00%,14,"¥213,790",93.80%,41,¥0,0.00%,44,"¥44,452",71.90%,20,"¥425,579",66.10%,40,¥0,0.00%,50,"¥298,428",79.20%,49,"¥5,480",134.10%,38,¥0,0.00%,23,"¥441,506",70.50%,8,"¥3,277,022",93.10%
2025年39週(2025/12/22~2025/12/28),6,"¥1,002,874",88.90%,41,¥0,0.00%,39,¥0,0.00%,39,¥0,0.00%,2,"¥301,515",28.20%,42,¥0,0.00%,37,"¥68,117",64.00%,2,"¥632,617",102.40%,41,¥0,0.00%,22,"¥361,422",83.70%,46,"¥7,224",65.90%,39,¥0,0.00%,1,"¥624,558",76.10%,2,"¥3,941,209",92.80%
2025年40週(2025/12/29~2026/01/04),7,"¥993,607",129.20%,2,"¥36,418",52.70%,40,¥0,0.00%,40,¥0,0.00%,1,"¥3,090,727",101.20%,1,"¥7,139,201",132.00%,31,"¥128,724",93.50%,39,"¥293,902",98.20%,42,¥0,0.00%,52,"¥217,192",102.80%,43,"¥8,818",61.90%,40,¥0,0.00%,2,"¥559,886",104.60%,1,"¥4,330,553",112.40%
2025年41週(2026/01/05~2026/01/11),9,"¥979,176",107.40%,1,"¥66,708",205.50%,41,¥0,0.00%,41,¥0,0.00%,21,"¥205,520",93.10%,43,¥0,0.00%,33,"¥104,268",103.60%,13,"¥455,393",95.80%,43,¥0,0.00%,49,"¥300,696",85.10%,45,"¥7,672",175.00%,41,¥0,0.00%,27,"¥435,418",76.90%,5,"¥3,407,978",103.80%
2025年42週(2026/01/12~2026/01/18),25,"¥835,935",108.30%,42,¥0,0.00%,42,¥0,0.00%,42,¥0,0.00%,22,"¥199,907",86.60%,44,¥0,0.00%,40,"¥49,826",82.40%,4,"¥548,532",96.50%,44,¥0,0.00%,43,"¥311,349",93.60%,34,"¥13,700",192.30%,42,¥0,0.00%,15,"¥456,725",75.80%,12,"¥3,114,709",101.40%
2025年43週(2026/01/19~2026/01/25),8,"¥985,200",86.80%,43,¥0,0.00%,43,¥0,0.00%,43,¥0,0.00%,19,"¥206,754",91.30%,45,¥0,0.00%,45,"¥41,955",66.10%,7,"¥506,518",123.00%,45,¥0,0.00%,39,"¥316,472",84.60%,40,"¥9,804",120.70%,43,¥0,0.00%,12,"¥468,974",76.20%,6,"¥3,387,637",113.50%
2025年44週(2026/01/26~2026/02/01),5,"¥1,035,485",84.90%,44,¥0,0.00%,44,¥0,0.00%,44,¥0,0.00%,6,"¥225,231",92.30%,3,"¥14,352",0.00%,47,"¥36,847",70.70%,17,"¥435,060",72.00%,46,¥0,0.00%,38,"¥317,968",90.20%,44,"¥8,658",54.50%,44,¥0,0.00%,33,"¥420,649",71.90%,10,"¥3,203,065",112.70%
2025年45週(2026/02/02~2026/02/08),3,"¥1,115,252",89.30%,45,¥0,0.00%,45,¥0,0.00%,45,¥0,0.00%,3,"¥255,401",112.10%,2,"¥167,790",0.00%,48,"¥30,914",67.40%,10,"¥469,959",106.00%,47,¥0,0.00%,37,"¥318,138",83.90%,41,"¥9,754",123.20%,45,¥0,0.00%,18,"¥449,701",75.30%,7,"¥3,333,491",108.60%
2025年46週(2026/02/09~2026/02/15),15,"¥939,254",80.60%,46,¥0,0.00%,46,¥0,0.00%,46,¥0,0.00%,10,"¥219,634",92.30%,46,¥0,0.00%,49,¥0,0.00%,16,"¥440,333",93.10%,48,¥0,0.00%,10,"¥397,892",67.90%,39,"¥10,412",136.60%,46,¥0,0.00%,20,"¥446,666",68.30%,14,"¥2,964,848",103.70%
2025年47週(2026/02/16~2026/02/22),12,"¥960,478",66.40%,47,¥0,0.00%,47,¥0,0.00%,47,¥0,0.00%,9,"¥221,800",92.30%,47,¥0,0.00%,50,¥0,0.00%,21,"¥420,703",97.60%,49,¥0,0.00%,33,"¥329,528",91.70%,33,"¥15,616",156.00%,47,¥0,0.00%,22,"¥441,791",66.60%,15,"¥2,959,186",99.40%
2025年48週(2026/02/23~2026/03/01),21,"¥872,030",72.70%,48,¥0,0.00%,48,¥0,0.00%,48,¥0,0.00%,15,"¥211,260",85.10%,48,¥0,0.00%,51,¥0,0.00%,5,"¥524,724",112.30%,50,¥0,0.00%,31,"¥333,565",90.20%,32,"¥17,810",191.20%,48,¥0,0.00%,45,"¥382,828",68.00%,18,"¥2,733,607",107.80%
2025年49週(2026/03/02~2026/03/08),24,"¥842,594",77.80%,49,¥0,0.00%,49,¥0,0.00%,49,¥0,0.00%,20,"¥205,673",95.60%,49,¥0,0.00%,52,¥0,0.00%,6,"¥515,013",103.40%,51,¥0,0.00%,51,"¥296,994",68.50%,37,"¥11,284",96.40%,49,¥0,0.00%,31,"¥427,615",77.60%,20,"¥2,511,133",101.70%
2025年50週(2026/03/09~2026/03/15),18,"¥915,360",82.70%,50,¥0,0.00%,50,¥0,0.00%,50,¥0,0.00%,24,"¥192,926",70.80%,50,¥0,0.00%,46,"¥41,880",45.90%,23,"¥391,453",101.00%,52,¥0,0.00%,6,"¥410,693",85.00%,31,"¥62,836",85.50%,50,¥0,0.00%,37,"¥403,640",71.50%,22,"¥2,317,845",120.60%
2025年51週(2026/03/16~2026/03/22),14,"¥940,580",79.00%,51,¥0,0.00%,51,¥0,0.00%,51,¥0,0.00%,25,"¥190,155",89.00%,51,¥0,0.00%,32,"¥117,657",114.80%,1,"¥687,867",94.90%,31,"¥47,005",36.00%,24,"¥357,824",84.70%,29,"¥322,999",90.50%,51,¥0,0.00%,38,"¥402,573",72.00%,24,"¥1,941,867",123.10%
2025年52週(2026/03/23~2026/03/29),10,"¥975,544",85.10%,52,¥0,0.00%,52,¥0,0.00%,52,¥0,0.00%,26,"¥188,211",94.00%,52,¥0,0.00%,34,"¥103,911",71.10%,28,"¥372,964",99.20%,28,"¥116,205",81.10%,9,"¥400,862",94.80%,27,"¥529,563",90.00%,52,¥0,0.00%,36,"¥411,104",75.80%,26,"¥1,352,022",110.40%
